Waktu,Distance (cm),Duration (us)
2025-05-10 21:21:13,876.18,235.0
2025-05-10 21:21:14,876.18,235.0
2025-05-10 21:21:14,876.18,235.0
2025-05-10 21:21:14,876.18,235.0
2025-05-10 21:21:15,876.18,235.0
2025-05-10 21:21:15,877.64,234.0
2025-05-10 21:21:16,876.18,235.0
2025-05-10 21:21:16,876.18,235.0
2025-05-10 21:21:17,876.18,235.0
2025-05-10 21:21:17,877.64,234.0
2025-05-10 21:21:18,876.18,235.0
2025-05-10 21:21:18,876.18,235.0
2025-05-10 21:21:19,877.64,234.0
2025-05-10 21:21:19,876.18,235.0
2025-05-10 21:21:20,876.18,235.0
2025-05-10 21:21:20,877.64,234.0
2025-05-10 21:21:21,876.18,235.0
2025-05-10 21:21:21,876.18,235.0
2025-05-10 21:21:22,876.18,235.0
2025-05-10 21:21:22,877.64,234.0
2025-05-10 21:21:23,876.18,235.0
2025-05-10 21:21:23,877.64,234.0
2025-05-10 21:21:24,876.18,235.0
2025-05-10 21:21:24,876.18,235.0
2025-05-10 21:21:25,876.18,235.0
2025-05-10 21:21:25,877.64,234.0
2025-05-10 21:21:26,876.18,235.0
2025-05-10 21:21:26,877.64,234.0
2025-05-10 21:21:27,876.18,235.0
2025-05-10 21:21:27,876.18,235.0
2025-05-10 21:21:28,876.18,235.0
2025-05-10 21:21:28,876.18,235.0
2025-05-10 21:21:29,876.18,235.0
2025-05-10 21:21:29,877.64,234.0
2025-05-10 21:21:30,876.18,235.0
2025-05-10 21:21:30,877.64,234.0
2025-05-10 21:21:31,876.18,235.0
2025-05-10 21:21:31,876.18,235.0
2025-05-10 21:21:32,876.18,235.0
2025-05-10 21:21:32,876.18,235.0
2025-05-10 21:21:33,876.18,235.0
2025-05-10 21:21:33,877.64,234.0
2025-05-10 21:21:34,876.18,235.0
2025-05-10 21:21:34,877.64,234.0
2025-05-10 21:21:35,876.18,235.0
2025-05-10 21:21:35,876.18,235.0
2025-05-10 21:21:36,877.64,234.0
2025-05-10 21:21:36,876.18,235.0
2025-05-10 21:21:37,767.21,310.0
2025-05-10 21:21:37,793.37,292.0
2025-05-10 21:21:38,793.37,292.0
2025-05-10 21:21:38,712.0,348.0
2025-05-10 21:21:39,739.61,329.0
2025-05-10 21:21:39,767.21,310.0
2025-05-10 21:21:40,767.21,310.0
2025-05-10 21:21:40,767.21,310.0
2025-05-10 21:21:41,684.4,367.0
2025-05-10 21:21:41,712.0,348.0
2025-05-10 21:21:42,712.0,348.0
2025-05-10 21:21:42,739.61,329.0
2025-05-10 21:21:43,767.21,310.0
2025-05-10 21:21:43,767.21,310.0
2025-05-10 21:21:44,684.4,367.0
2025-05-10 21:21:44,684.4,367.0
2025-05-10 21:21:45,712.0,348.0
2025-05-10 21:21:45,629.18,405.0
2025-05-10 21:21:46,630.64,404.0
2025-05-10 21:21:46,656.79,386.0
2025-05-10 21:21:47,656.79,386.0
2025-05-10 21:21:47,684.4,367.0
2025-05-10 21:21:48,601.58,424.0
2025-05-10 21:21:48,603.03,423.0
2025-05-10 21:21:49,630.64,404.0
2025-05-10 21:21:49,656.79,386.0
2025-05-10 21:21:50,656.79,386.0
2025-05-10 21:21:50,656.79,386.0
2025-05-10 21:21:51,575.42,442.0
2025-05-10 21:21:51,603.03,423.0
2025-05-10 21:21:52,601.58,424.0
2025-05-10 21:21:52,630.64,404.0
2025-05-10 21:21:53,629.18,405.0
2025-05-10 21:21:53,547.82,461.0
2025-05-10 21:21:54,575.42,442.0
2025-05-10 21:21:54,575.42,442.0
2025-05-10 21:21:55,603.03,423.0
2025-05-10 21:21:55,520.21,480.0
2025-05-10 21:21:56,520.21,480.0
2025-05-10 21:21:56,546.37,462.0
2025-05-10 21:21:57,547.82,461.0
2025-05-10 21:21:57,575.42,442.0
2025-05-10 21:21:58,492.61,499.0
2025-05-10 21:21:58,491.15,500.0
2025-05-10 21:21:59,518.76,481.0
2025-05-10 21:21:59,520.21,480.0
2025-05-10 21:22:00,546.37,462.0
2025-05-10 21:22:00,546.37,462.0
2025-05-10 21:22:01,465.0,518.0
2025-05-10 21:22:01,491.15,500.0
2025-05-10 21:22:02,491.15,500.0
2025-05-10 21:22:02,518.76,481.0
2025-05-10 21:22:03,518.76,481.0
2025-05-10 21:22:03,433.04,540.0
2025-05-10 21:22:04,465.0,518.0
2025-05-10 21:22:04,465.0,518.0
2025-05-10 21:22:05,492.61,499.0
2025-05-10 21:22:05,492.61,499.0
2025-05-10 21:22:06,403.98,560.0
2025-05-10 21:22:06,403.98,560.0
2025-05-10 21:22:07,433.04,540.0
2025-05-10 21:22:07,465.0,518.0
2025-05-10 21:22:08,315.35,621.0
2025-05-10 21:22:08,344.41,601.0
2025-05-10 21:22:09,373.47,581.0
2025-05-10 21:22:09,403.98,560.0
2025-05-10 21:22:10,403.98,560.0
2025-05-10 21:22:10,434.49,539.0
2025-05-10 21:22:11,315.35,621.0
2025-05-10 21:22:11,315.35,621.0
2025-05-10 21:22:12,344.41,601.0
2025-05-10 21:22:12,465.0,518.0
2025-05-10 21:22:13,345.86,600.0
2025-05-10 21:22:13,286.29,641.0
2025-05-10 21:22:14,520.21,480.0
2025-05-10 21:22:14,547.82,461.0
2025-05-10 21:22:15,547.82,461.0
2025-05-10 21:22:15,491.15,500.0
2025-05-10 21:22:16,575.42,442.0
2025-05-10 21:22:16,630.64,404.0
2025-05-10 21:22:17,345.86,600.0
2025-05-10 21:22:17,630.64,404.0
2025-05-10 21:22:18,656.79,386.0
2025-05-10 21:22:18,684.4,367.0
2025-05-10 21:22:19,603.03,423.0
2025-05-10 21:22:19,684.4,367.0
2025-05-10 21:22:20,684.4,367.0
2025-05-10 21:22:20,739.61,329.0
2025-05-10 21:22:21,739.61,329.0
2025-05-10 21:22:21,767.21,310.0
2025-05-10 21:22:22,767.21,310.0
2025-05-10 21:22:22,684.4,367.0
2025-05-10 21:22:23,684.4,367.0
2025-05-10 21:22:23,712.0,348.0
2025-05-10 21:22:24,712.0,348.0
2025-05-10 21:22:24,739.61,329.0
2025-05-10 21:22:25,656.79,386.0
2025-05-10 21:22:25,656.79,386.0
2025-05-10 21:22:26,684.4,367.0
2025-05-10 21:22:26,684.4,367.0
2025-05-10 21:22:27,603.03,423.0
2025-05-10 21:22:27,629.18,405.0
2025-05-10 21:22:28,573.97,443.0
2025-05-10 21:22:28,575.42,442.0
2025-05-10 21:22:29,656.79,386.0
2025-05-10 21:22:29,629.18,405.0
