Waktu,Distance (cm),Duration (us)
2025-05-10 21:09:01,-69.68,886.0
2025-05-10 21:09:01,-69.68,886.0
2025-05-10 21:09:02,-69.68,886.0
2025-05-10 21:09:02,-69.68,886.0
2025-05-10 21:09:03,-69.68,886.0
2025-05-10 21:09:04,-69.68,886.0
2025-05-10 21:09:04,-69.68,886.0
2025-05-10 21:09:05,-69.68,886.0
2025-05-10 21:09:05,-69.68,886.0
2025-05-10 21:09:15,-69.68,886.0
2025-05-10 21:09:15,-69.68,886.0
2025-05-10 21:09:16,-69.68,886.0
2025-05-10 21:09:16,-69.68,886.0
2025-05-10 21:09:17,-69.68,886.0
2025-05-10 21:09:17,-69.68,886.0
2025-05-10 21:09:18,-69.68,886.0
2025-05-10 21:09:18,-69.68,886.0
2025-05-10 21:09:19,-68.23,885.0
2025-05-10 21:09:22,-69.68,886.0
2025-05-10 21:09:22,-69.68,886.0
2025-05-10 21:09:23,18.95,825.0
2025-05-10 21:09:23,-10.11,845.0
2025-05-10 21:09:24,48.01,805.0
2025-05-10 21:09:24,-10.11,845.0
2025-05-10 21:09:25,-69.68,886.0
2025-05-10 21:09:26,138.09,743.0
2025-05-10 21:09:26,48.01,805.0
2025-05-10 21:09:27,167.15,723.0
2025-05-10 21:09:27,107.58,764.0
2025-05-10 21:09:28,167.15,723.0
2025-05-10 21:09:28,107.58,764.0
2025-05-10 21:09:29,167.15,723.0
2025-05-10 21:09:29,78.52,784.0
2025-05-10 21:09:30,167.15,723.0
2025-05-10 21:09:31,286.29,641.0
2025-05-10 21:09:31,344.41,601.0
2025-05-10 21:09:32,284.84,642.0
2025-05-10 21:09:32,374.92,580.0
2025-05-10 21:09:33,315.35,621.0
2025-05-10 21:09:33,374.92,580.0
2025-05-10 21:09:34,344.41,601.0
2025-05-10 21:09:35,403.98,560.0
2025-05-10 21:09:35,344.41,601.0
2025-05-10 21:09:36,434.49,539.0
2025-05-10 21:09:36,492.61,499.0
2025-05-10 21:09:37,465.0,518.0
2025-05-10 21:09:37,518.76,481.0
2025-05-10 21:09:38,465.0,518.0
2025-05-10 21:09:38,520.21,480.0
2025-05-10 21:09:39,575.42,442.0
2025-05-10 21:09:40,546.37,462.0
2025-05-10 21:09:40,603.03,423.0
2025-05-10 21:09:41,546.37,462.0
2025-05-10 21:09:41,601.58,424.0
2025-05-10 21:09:42,656.79,386.0
2025-05-10 21:09:42,630.64,404.0
2025-05-10 21:09:43,684.4,367.0
2025-05-10 21:09:43,630.64,404.0
2025-05-10 21:09:44,684.4,367.0
2025-05-10 21:09:45,767.21,310.0
2025-05-10 21:09:45,712.0,348.0
2025-05-10 21:09:46,767.21,310.0
2025-05-10 21:09:46,712.0,348.0
2025-05-10 21:09:47,767.21,310.0
2025-05-10 21:09:47,767.21,310.0
2025-05-10 21:09:48,712.0,348.0
2025-05-10 21:09:49,684.4,367.0
2025-05-10 21:09:49,739.61,329.0
2025-05-10 21:09:50,794.82,291.0
2025-05-10 21:09:50,767.21,310.0
2025-05-10 21:09:51,850.03,253.0
2025-05-10 21:09:51,905.24,215.0
2025-05-10 21:09:52,848.58,254.0
2025-05-10 21:09:52,903.79,216.0
2025-05-10 21:09:53,1014.21,140.0
2025-05-10 21:09:54,986.61,159.0
2025-05-10 21:09:54,959.0,178.0
2025-05-10 21:09:55,959.0,178.0
2025-05-10 21:09:55,986.61,159.0
2025-05-10 21:09:56,959.0,178.0
2025-05-10 21:09:56,1041.82,121.0
2025-05-10 21:09:57,986.61,159.0
2025-05-10 21:09:57,1041.82,121.0
2025-05-10 21:09:58,1041.82,121.0
2025-05-10 21:09:59,1014.21,140.0
2025-05-10 21:09:59,1041.82,121.0
2025-05-10 21:10:00,1041.82,121.0
2025-05-10 21:10:00,1041.82,121.0
2025-05-10 21:10:01,1041.82,121.0
2025-05-10 21:10:01,1041.82,121.0
2025-05-10 21:10:02,1041.82,121.0
2025-05-10 21:10:03,1041.82,121.0
2025-05-10 21:10:03,1041.82,121.0
2025-05-10 21:10:04,1041.82,121.0
2025-05-10 21:10:04,1041.82,121.0
2025-05-10 21:10:05,1041.82,121.0
2025-05-10 21:10:05,1041.82,121.0
2025-05-10 21:10:06,1041.82,121.0
2025-05-10 21:10:06,1041.82,121.0
